"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"70-74 years"	"70-74"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	16	7882542	Unreliable
"Total"	"70-74 years"	"70-74"	"Female"	"F"	"2021 (provisional)"	"2021"			3200	7882542	40.6
"Total"	"70-74 years"	"70-74"	"Female"	"F"					3200	7882542	40.6
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	310	6793189	4.6
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	401	6793189	5.9
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, withdrawal state"	"F10.3"	35	6793189	0.5
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, withdrawal state with delirium"	"F10.4"	12	6793189	Unreliable
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, residual and late-onset psychotic disorder"	"F10.7"	58	6793189	0.9
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	68	6793189	1.0
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use"	"F15.1"	10	6793189	Unreliable
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	22	6793189	0.3
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic fatty liver"	"K70.0"	23	6793189	0.3
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic hepatitis"	"K70.1"	33	6793189	0.5
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	1326	6793189	19.5
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic hepatic failure"	"K70.4"	91	6793189	1.3
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic liver disease, unspecified"	"K70.9"	120	6793189	1.8
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Primary biliary cirrhosis"	"K74.3"	11	6793189	Unreliable
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	1737	6793189	25.6
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	125	6793189	1.8
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	417	6793189	6.1
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	279	6793189	4.1
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to alcohol"	"X45"	50	6793189	0.7
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	14	6793189	Unreliable
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	15	6793189	Unreliable
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	61	6793189	0.9
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	30	6793189	0.4
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	187	6793189	2.8
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by drowning and submersion"	"X71"	13	6793189	Unreliable
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	396	6793189	5.8
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	135	6793189	2.0
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	1022	6793189	15.0
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by sharp object"	"X78"	40	6793189	0.6
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping from a high place"	"X80"	31	6793189	0.5
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping or lying before moving object"	"X81"	15	6793189	Unreliable
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	17	6793189	Unreliable
	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	11	6793189	Unreliable
"Total"	"70-74 years"	"70-74"	"Male"	"M"	"2021 (provisional)"	"2021"			7225	6793189	106.4
"Total"	"70-74 years"	"70-74"	"Male"	"M"					7225	6793189	106.4
"Total"	"70-74 years"	"70-74"							10425	14675731	71.0
	"75-79 years"	"75-79"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	52	5513149	0.9
	"75-79 years"	"75-79"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	53	5513149	1.0
	"75-79 years"	"75-79"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, residual and late-onset psychotic disorder"	"F10.7"	22	5513149	0.4
	"75-79 years"	"75-79"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	13	5513149	Unreliable
	"75-79 years"	"75-79"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	233	5513149	4.2
	"75-79 years"	"75-79"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic hepatic failure"	"K70.4"	17	5513149	Unreliable
	"75-79 years"	"75-79"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic liver disease, unspecified"	"K70.9"	18	5513149	Unreliable
	"75-79 years"	"75-79"	"Female"	"F"	"2021 (provisional)"	"2021"	"Primary biliary cirrhosis"	"K74.3"	46	5513149	0.8
	"75-79 years"	"75-79"	"Female"	"F"	"2021 (provisional)"	"2021"	"Biliary cirrhosis, unspecified"	"K74.5"	12	5513149	Unreliable
	"75-79 years"	"75-79"	"Female"	"F"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	1231	5513149	22.3
	"75-79 years"	"75-79"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	16	5513149	Unreliable
	"75-79 years"	"75-79"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	29	5513149	0.5
	"75-79 years"	"75-79"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	58	5513149	1.1
	"75-79 years"	"75-79"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	23	5513149	0.4
	"75-79 years"	"75-79"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	13	5513149	Unreliable
	"75-79 years"	"75-79"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	53	5513149	1.0
	"75-79 years"	"75-79"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	39	5513149	0.7
	"75-79 years"	"75-79"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	36	5513149	0.7
	"75-79 years"	"75-79"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	75	5513149	1.4
	"75-79 years"	"75-79"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping from a high place"	"X80"	12	5513149	Unreliable
"Total"	"75-79 years"	"75-79"	"Female"	"F"	"2021 (provisional)"	"2021"			2153	5513149	39.1
"Total"	"75-79 years"	"75-79"	"Female"	"F"					2153	5513149	39.1
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	140	4473684	3.1
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	171	4473684	3.8
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, withdrawal state"	"F10.3"	15	4473684	Unreliable
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, amnesic syndrome"	"F10.6"	10	4473684	Unreliable
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, residual and late-onset psychotic disorder"	"F10.7"	50	4473684	1.1
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	32	4473684	0.7
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic hepatitis"	"K70.1"	15	4473684	Unreliable
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	669	4473684	15.0
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic hepatic failure"	"K70.4"	41	4473684	0.9
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic liver disease, unspecified"	"K70.9"	56	4473684	1.3
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Primary biliary cirrhosis"	"K74.3"	12	4473684	Unreliable
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	1270	4473684	28.4
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	30	4473684	0.7
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	99	4473684	2.2
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	96	4473684	2.1
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to alcohol"	"X45"	10	4473684	Unreliable
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	14	4473684	Unreliable
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	12	4473684	Unreliable
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	33	4473684	0.7
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	35	4473684	0.8
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	109	4473684	2.4
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	353	4473684	7.9
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	108	4473684	2.4
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	811	4473684	18.1
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by sharp object"	"X78"	26	4473684	0.6
	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping from a high place"	"X80"	22	4473684	0.5
"Total"	"75-79 years"	"75-79"	"Male"	"M"	"2021 (provisional)"	"2021"			4362	4473684	97.5
"Total"	"75-79 years"	"75-79"	"Male"	"M"					4362	4473684	97.5
"Total"	"75-79 years"	"75-79"							6515	9986833	65.2
	"80-84 years"	"80-84"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	24	3715123	0.6
	"80-84 years"	"80-84"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	18	3715123	Unreliable
	"80-84 years"	"80-84"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, residual and late-onset psychotic disorder"	"F10.7"	18	3715123	Unreliable
	"80-84 years"	"80-84"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	98	3715123	2.6
	"80-84 years"	"80-84"	"Female"	"F"	"2021 (provisional)"	"2021"	"Primary biliary cirrhosis"	"K74.3"	44	3715123	1.2
	"80-84 years"	"80-84"	"Female"	"F"	"2021 (provisional)"	"2021"	"Biliary cirrhosis, unspecified"	"K74.5"	13	3715123	Unreliable
	"80-84 years"	"80-84"	"Female"	"F"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	870	3715123	23.4
	"80-84 years"	"80-84"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	52	3715123	1.4
	"80-84 years"	"80-84"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	32	3715123	0.9
	"80-84 years"	"80-84"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	17	3715123	Unreliable
	"80-84 years"	"80-84"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	23	3715123	0.6
	"80-84 years"	"80-84"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	34	3715123	0.9
"Total"	"80-84 years"	"80-84"	"Female"	"F"	"2021 (provisional)"	"2021"			1373	3715123	37.0
"Total"	"80-84 years"	"80-84"	"Female"	"F"					1373	3715123	37.0
	"80-84 years"	"80-84"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	68	2749591	2.5
	"80-84 years"	"80-84"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	62	2749591	2.3
	"80-84 years"	"80-84"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, residual and late-onset psychotic disorder"	"F10.7"	33	2749591	1.2
	"80-84 years"	"80-84"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	12	2749591	Unreliable
	"80-84 years"	"80-84"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	311	2749591	11.3
	"80-84 years"	"80-84"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic hepatic failure"	"K70.4"	23	2749591	0.8
	"80-84 years"	"80-84"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic liver disease, unspecified"	"K70.9"	20	2749591	0.7
	"80-84 years"	"80-84"	"Male"	"M"	"2021 (provisional)"	"2021"	"Primary biliary cirrhosis"	"K74.3"	10	2749591	Unreliable
	"80-84 years"	"80-84"	"Male"	"M"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	829	2749591	30.1
	"80-84 years"	"80-84"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	25	2749591	0.9
	"80-84 years"	"80-84"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	54	2749591	2.0
	"80-84 years"	"80-84"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	20	2749591	0.7
	"80-84 years"	"80-84"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	19	2749591	Unreliable
	"80-84 years"	"80-84"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	61	2749591	2.2
	"80-84 years"	"80-84"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	289	2749591	10.5
	"80-84 years"	"80-84"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	86	2749591	3.1
	"80-84 years"	"80-84"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	651	2749591	23.7
	"80-84 years"	"80-84"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by sharp object"	"X78"	19	2749591	Unreliable
"Total"	"80-84 years"	"80-84"	"Male"	"M"	"2021 (provisional)"	"2021"			2694	2749591	98.0
"Total"	"80-84 years"	"80-84"	"Male"	"M"					2694	2749591	98.0
"Total"	"80-84 years"	"80-84"							4067	6464714	62.9
	"85-89 years"	"85-89"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, residual and late-onset psychotic disorder"	"F10.7"	20	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	35	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2021 (provisional)"	"2021"	"Primary biliary cirrhosis"	"K74.3"	30	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2021 (provisional)"	"2021"	"Biliary cirrhosis, unspecified"	"K74.5"	12	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	523	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	35	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	18	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	12	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	15	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"Female"	"F"	"2021 (provisional)"	"2021"			786	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"Female"	"F"					786	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	25	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	25	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, residual and late-onset psychotic disorder"	"F10.7"	29	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	128	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	472	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	34	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	12	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	10	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	47	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	175	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	61	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	378	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by sharp object"	"X78"	12	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping from a high place"	"X80"	12	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"Male"	"M"	"2021 (provisional)"	"2021"			1507	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"	"Male"	"M"					1507	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"							2293	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	250	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	23	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	10	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"Female"	"F"	"2021 (provisional)"	"2021"			375	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"Female"	"F"					375	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, residual and late-onset psychotic disorder"	"F10.7"	14	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	31	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	183	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	10	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	14	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	26	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	99	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	29	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	188	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"Male"	"M"	"2021 (provisional)"	"2021"			653	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"	"Male"	"M"					653	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"							1028	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"Female"	"F"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	59	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"Female"	"F"	"2021 (provisional)"	"2021"			86	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"	"Female"	"F"					86	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"Male"	"M"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	37	Not Applicable	Not Applicable
